Island,Archipelago,Deforestation,Replacement,Latitude,Longitude,Area,Area 50,Isolation,Isolation 75,Elevation,Rainfall,Dust,Makatea,Age,Tephra,Irrigation,Dry,Arboriculture,Elite Ownership,Individual Ownership
Tubuai,Australs,4.0,4.0,-23.37,-149.47,45.0,45.0,180.0,210.0,422.0,2030.0,174.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0
Rurutu,Australs,4.0,4.0,-22.47,-151.34,32.0,32.0,150.0,210.0,389.0,1899.0,181.0,0.1,2.5,1.0,1.0,0.0,0.0,0.0,0.0
Rimatara,Australs,4.0,4.0,-22.65,-152.81,9.0,9.0,150.0,150.0,83.0,1660.0,187.0,0.1,3.0,1.0,1.0,0.0,0.0,0.0,0.0
Rapa,Australs,4.0,4.0,-27.6,-144.34,40.0,40.0,600.0,600.0,650.0,2738.0,156.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0
Raivavae,Australs,4.0,4.0,-23.87,-147.66,18.0,18.0,180.0,180.0,437.0,1841.0,168.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0
New Britain (lee.),Bismarcks,2.0,2.0,-5.2,150.48,35742.0,43784.0,30.0,95.0,2439.0,4156.0,550.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0
New Ireland,Bismarcks,2.0,2.0,-3.14,151.57,7174.0,44482.0,30.0,30.0,2399.0,3302.0,550.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0
New Britain (wind.),Bismarcks,2.0,2.0,-6.12,149.5,35742.0,43784.0,30.0,95.0,2439.0,6076.0,550.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0
Rarotonga,Cooks,3.0,4.0,-21.23,-159.78,67.0,67.0,165.0,165.0,653.0,2021.0,210.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0
Mitiaro,Cooks,4.0,4.0,-19.87,-157.7,22.0,70.0,22.0,22.0,15.0,1828.0,210.0,0.74,3.0,1.0,0.0,1.0,0.0,0.0,0.0
Mauke,Cooks,4.0,4.0,-20.16,-157.34,20.0,42.0,37.0,37.0,29.0,1626.0,210.0,0.75,3.0,1.0,1.0,0.0,0.0,0.0,0.0
Mangaia,Cooks,4.0,4.0,-21.93,-157.92,70.0,70.0,165.0,165.0,169.0,1967.0,210.0,0.56,3.0,1.0,1.0,0.0,0.0,0.0,0.0
Aitutaki,Cooks,4.0,4.0,-18.85,-159.78,18.0,18.0,187.0,187.0,124.0,1894.0,210.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0
Atiu,Cooks,4.0,4.0,-19.99,-158.12,28.0,48.0,22.0,22.0,71.0,1970.0,210.0,0.53,3.0,1.0,1.0,0.0,0.0,0.0,0.0
Taveuni (lee.),Fiji,2.0,3.0,-16.83,179.98,431.0,5966.0,10.0,10.0,1241.0,2506.0,260.0,0.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0
Taveuni (wind.),Fiji,2.0,3.0,-16.87,-179.91,431.0,5966.0,10.0,10.0,1241.0,5784.0,260.0,0.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0
Rotuma,Fiji,3.0,3.5,-12.5,177.08,60.0,60.0,500.0,500.0,256.0,3533.0,260.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0
Vanua Levu (lee.),Fiji,4.0,3.0,-16.55,178.95,5535.0,5966.0,65.0,65.0,1032.0,2445.0,260.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0
Vanua Levu (wind.),Fiji,3.0,3.0,-16.67,179.46,5535.0,5966.0,65.0,65.0,1032.0,2404.0,260.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0
Lakeba,Fiji,4.0,3.0,-18.21,-178.79,56.0,,30.0,70.0,220.0,1930.0,260.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0
Viti Levu (wind.),Fiji,3.0,3.0,-18.01,178.42,10384.0,10384.0,65.0,1170.0,1323.0,3158.0,260.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0
Viti Levu (lee.),Fiji,4.0,3.0,-17.67,177.49,10384.0,10384.0,65.0,1170.0,1323.0,1922.0,260.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0
